Set,Cup,Line,holes,Exp_date
1,1,Bg-2,0,20220718
1,1,Uod-1,4,20220718
1,1,Bg-2,0,20220718
1,1,Uod-1,9,20220718
1,2,Bg-2,0,20220718
1,2,Uod-1,1,20220718
1,2,Bg-2,0,20220718
1,2,Uod-1,9,20220718
1,3,Bg-2,1,20220718
1,3,Uod-1,4,20220718
1,3,Bg-2,5,20220718
1,3,Uod-1,1,20220718
1,4,Bg-2,0,20220718
1,4,Uod-1,0,20220718
1,4,Bg-2,3,20220718
1,4,Uod-1,11,20220718
1,5,Bg-2,5,20220718
1,5,Uod-1,11,20220718
1,5,Bg-2,8,20220718
1,5,Uod-1,21,20220718
1,6,Bg-2,5,20220718
1,6,Uod-1,13,20220718
1,6,Bg-2,2,20220718
1,6,Uod-1,21,20220718
1,7,Bg-2,7,20220718
1,7,Uod-1,11,20220718
1,7,Bg-2,4,20220718
1,7,Uod-1,10,20220718
1,8,Bg-2,0,20220718
1,8,Uod-1,0,20220718
1,8,Bg-2,0,20220718
1,8,Uod-1,19,20220718
1,9,Bg-2,5,20220718
1,9,Uod-1,0,20220718
1,9,Bg-2,0,20220718
1,9,Uod-1,0,20220718
1,10,Bg-2,0,20220718
1,10,Uod-1,6,20220718
1,10,Bg-2,0,20220718
1,10,Uod-1,2,20220718
1,11,Bg-2,6,20220718
1,11,Uod-1,13,20220718
1,11,Bg-2,6,20220718
1,11,Uod-1,0,20220718
1,12,Bg-2,7,20220718
1,12,Uod-1,19,20220718
1,12,Bg-2,6,20220718
1,12,Uod-1,1,20220718
1,13,Bg-2,2,20220718
1,13,Uod-1,20,20220718
1,13,Bg-2,10,20220718
1,13,Uod-1,7,20220718
1,14,Bg-2,0,20220718
1,14,Uod-1,23,20220718
1,14,Bg-2,11,20220718
1,14,Uod-1,0,20220718
1,15,Bg-2,0,20220718
1,15,Uod-1,0,20220718
1,15,Bg-2,0,20220718
1,15,Uod-1,5,20220718
2,1,Vastervik,0,20220822
2,1,Jm-0,1,20220822
2,1,Vastervik,0,20220822
2,1,Jm-0,19,20220822
2,2,Vastervik,0,20220822
2,2,Jm-0,0,20220822
2,2,Vastervik,0,20220822
2,2,Jm-0,5,20220822
2,3,Vastervik,8,20220822
2,3,Jm-0,9,20220822
2,3,Vastervik,0,20220822
2,3,Jm-0,0,20220822
2,4,Vastervik,0,20220822
2,4,Jm-0,0,20220822
2,4,Vastervik,0,20220822
2,4,Jm-0,19,20220822
2,5,Vastervik,3,20220822
2,5,Jm-0,24,20220822
2,5,Vastervik,6,20220822
2,5,Jm-0,11,20220822
2,6,Vastervik,9,20220822
