Year,ID,Block,plotID,Line,MonoPoly,Density,hole,LeafLen
2021,1,1,1,Bg-2,Mono,Low,62,22
2021,2,1,1,Bg-2,Mono,Low,66,23
2021,3,1,1,Bg-2,Mono,Low,67,22
2021,4,1,1,Bg-2,Mono,Low,38,23
2021,5,1,1,Bg-2,Mono,Low,62,31
2021,6,1,1,Bg-2,Mono,Low,45,25
2021,7,1,1,Bg-2,Mono,Low,57,26
2021,8,1,1,Bg-2,Mono,Low,85,30
2021,9,1,1,Bg-2,Mono,Low,72,35
2021,10,1,1,Bg-2,Mono,Low,80,30
2021,11,1,1,Bg-2,Mono,Low,60,30
2021,12,1,1,Bg-2,Mono,Low,60,34
2021,13,1,1,Bg-2,Mono,Low,84,35
2021,14,1,1,Bg-2,Mono,Low,103,29
2021,15,1,1,Bg-2,Mono,Low,97,34
2021,16,1,1,Bg-2,Mono,Low,84,26
2021,17,1,2,Uod-1,Poly,Low,64,31
2021,18,1,2,Bg-2,Poly,Low,29,26
2021,19,1,2,Uod-1,Poly,Low,44,30
2021,20,1,2,Bg-2,Poly,Low,34,24
2021,21,1,2,Bg-2,Poly,Low,42,20
2021,22,1,2,Uod-1,Poly,Low,25,31
2021,23,1,2,Bg-2,Poly,Low,22,30
2021,24,1,2,Uod-1,Poly,Low,21,31
2021,25,1,2,Uod-1,Poly,Low,53,30
2021,26,1,2,Bg-2,Poly,Low,14,27
2021,27,1,2,Uod-1,Poly,Low,32,31
2021,28,1,2,Bg-2,Poly,Low,43,28
2021,29,1,2,Bg-2,Poly,Low,38,26
2021,30,1,2,Uod-1,Poly,Low,57,30
2021,31,1,2,Bg-2,Poly,Low,21,30
2021,32,1,2,Uod-1,Poly,Low,43,35
2021,33,1,3,Uod-1,Mono,Low,54,24
2021,34,1,3,Uod-1,Mono,Low,57,36
2021,35,1,3,Uod-1,Mono,Low,32,31
2021,36,1,3,Uod-1,Mono,Low,50,31
2021,37,1,3,Uod-1,Mono,Low,32,30
2021,38,1,3,Uod-1,Mono,Low,38,40
2021,39,1,3,Uod-1,Mono,Low,38,29
2021,40,1,3,Uod-1,Mono,Low,59,35
2021,41,1,3,Uod-1,Mono,Low,61,39
2021,42,1,3,Uod-1,Mono,Low,40,32
2021,43,1,3,Uod-1,Mono,Low,40,38
2021,44,1,3,Uod-1,Mono,Low,51,29
2021,45,1,3,Uod-1,Mono,Low,43,32
2021,46,1,3,Uod-1,Mono,Low,52,30
2021,47,1,3,Uod-1,Mono,Low,52,31
2021,48,1,3,Uod-1,Mono,Low,43,30
2021,49,1,4,Vastervik,Mono,Low,27,26
2021,50,1,4,Vastervik,Mono,Low,40,30
2021,51,1,4,Vastervik,Mono,Low,21,25
2021,52,1,4,Vastervik,Mono,Low,39,26
2021,53,1,4,Vastervik,Mono,Low,25,28
2021,54,1,4,Vastervik,Mono,Low,8,24
2021,55,1,4,Vastervik,Mono,Low,12,25
2021,56,1,4,Vastervik,Mono,Low,19,30
2021,57,1,4,Vastervik,Mono,Low,15,29
2021,58,1,4,Vastervik,Mono,Low,17,25
2021,59,1,4,Vastervik,Mono,Low,19,24
2021,60,1,4,Vastervik,Mono,Low,21,25
2021,61,1,4,Vastervik,Mono,Low,14,24
2021,62,1,4,Vastervik,Mono,Low,26,22
2021,63,1,4,Vastervik,Mono,Low,21,27
2021,64,1,4,Vastervik,Mono,Low,46,26
2021,65,1,5,Jm-0,Poly,Low,38,29
2021,66,1,5,Vastervik,Poly,Low,19,25
2021,67,1,5,Jm-0,Poly,Low,17,27
2021,68,1,5,Vastervik,Poly,Low,27,25
2021,69,1,5,Vastervik,Poly,Low,23,24
2021,70,1,5,Jm-0,Poly,Low,23,35
2021,71,1,5,Vastervik,Poly,Low,7,30
2021,72,1,5,Jm-0,Poly,Low,16,31
