IndivID,Name,Source,gwasID,Site,Year,Date,Block,position_X,position_Y,edge,InitLeafLen,Bolting,Score,Holes,Mines,Ps,Pa,Pp,Lc,Px,Pr_e,Pr_l,Ar,Tni,Syrphinae_l,Cv,Fi,Fo,Bh,Er,Mp,Mp_w,Le,Le_w,Bb,Bb_w,Mummy,Al,Cs,leaf_hopper
1,Uk-3,CS1577,10022,ZH,2019,20190710,1,1,1,1,33,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Hovdala-2,CS76937,6039,ZH,2019,20190710,1,1,3,1,42,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Lm-2,CS1345,8329,ZH,2019,20190710,1,1,5,1,29,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Edi-0,CS22657,6914,ZH,2019,20190710,1,1,7,1,28,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,HR-5,CS22596,6924,ZH,2019,20190710,1,1,9,1,26,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Kno-10,CS22566,6927,ZH,2019,20190710,1,2,2,0,33,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Pi-0,CS1455,7298,ZH,2019,20190710,1,2,4,0,33,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Ler-1,CS22618,6932,ZH,2019,20190710,1,2,6,0,25,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Petergof,CS926,7296,ZH,2019,20190710,1,2,8,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,NFA-8,CS22598,6944,ZH,2019,20190710,1,2,10,1,41,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Hs-0,CS1237,8310,ZH,2019,20190710,1,3,1,1,45,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Spr1-6,CS22583,6965,ZH,2019,20190710,1,3,3,0,36,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Ull2-5,CS22586,6974,ZH,2019,20190710,1,3,5,0,24,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nw-0,CS1409,7258,ZH,2019,20190710,1,3,7,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Ka-0,CS1267,8314,ZH,2019,20190710,1,3,9,0,15,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Kavlinge-1,CS76964,8237,ZH,2019,20190710,1,4,2,0,34,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Duk,CS76824,6008,ZH,2019,20190710,1,4,4,0,31,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Ts-5,CS22648,6971,ZH,2019,20190710,1,4,6,0,32,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Tamm-2,CS22604,6968,ZH,2019,20190710,1,4,8,0,32,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Fab-2,CS22576,6917,ZH,2019,20190710,1,4,10,1,35,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,NC-6,CS77124,8246,ZH,2019,20190710,1,5,1,1,33,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,RRS-10,CS22565,7515,ZH,2019,20190710,1,5,3,0,32,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Gul1-2,CS76896,8234,ZH,2019,20190710,1,5,5,0,42,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,HR-10,CS22597,6923,ZH,2019,20190710,1,5,7,0,32,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Se-0,CS22646,6961,ZH,2019,20190710,1,5,9,0,42,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Bil-7,CS22579,6901,ZH,2019,20190710,1,6,2,0,20,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Tottarp-2,CS77381,6243,ZH,2019,20190710,1,6,4,0,25,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Kni-1,CS76970,6040,ZH,2019,20190710,1,6,6,0,24,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Or-1,CS77150,6074,ZH,2019,20190710,1,6,8,0,22,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Gr-1,CS1199,8300,ZH,2019,20190710,1,6,10,1,29,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Ei-2,CS22616,6915,ZH,2019,20190710,1,7,1,1,32,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Fr-2,CS1169,7133,ZH,2019,20190710,1,7,3,0,33,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Rmx-A180,CS22569,7525,ZH,2019,20190710,1,7,5,0,20,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Zu-0,CS78880,7417,ZH,2019,20190710,1,7,7,0,36,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Ta-0,CS1549,8389,ZH,2019,20190710,1,7,9,0,35,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Pna-17,CS22570,7523,ZH,2019,20190710,1,8,2,0,25,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Wil-1,CS1595,8419,ZH,2019,20190710,1,8,4,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Est-1,CS22629,6916,ZH,2019,20190710,1,8,6,0,25,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Stw-0,CS1539,8388,ZH,2019,20190710,1,8,8,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Ct-1,CS22639,6910,ZH,2019,20190710,1,8,10,1,30,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Ga-0,CS22634,6919,ZH,2019,20190710,1,9,1,1,24,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Bor-4,CS22591,6903,ZH,2019,20190710,1,9,3,0,23,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Lis-2,CS77043,8222,ZH,2019,20190710,1,9,5,0,38,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Mir-0,CS1379,8337,ZH,2019,20190710,1,9,7,0,26,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Br-0,CS22628,6904,ZH,2019,20190710,1,9,9,0,31,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Lz-0,CS22615,6936,ZH,2019,20190710,1,10,2,0,30,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Lp2-6,CS22595,7521,ZH,2019,20190710,1,10,4,0,36,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Lis-1,CS77042,8326,ZH,2019,20190710,1,10,6,0,34,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Is-0,CS1241,8312,ZH,2019,20190710,1,10,8,0,38,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,N13,CS22491,7438,ZH,2019,20190710,1,10,10,1,24,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Ba5-1,CS76678,8259,ZH,2019,20190710,1,11,1,1,21,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Mz-0,CS22636,6940,ZH,2019,20190710,1,11,3,0,21,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Dra3-1,CS76811,8283,ZH,2019,20190710,1,11,5,0,28,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Mr-0,CS22640,7522,ZH,2019,20190710,1,11,7,0,33,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Ost-0,CS1431,8351,ZH,2019,20190710,1,11,9,0,31,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Col-0,CS22625,6909,ZH,2019,20190710,1,12,2,0,39,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Wt-5,CS22637,6982,ZH,2019,20190710,1,12,4,0,34,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Eden-1,CS22572,6009,ZH,2019,20190710,1,12,6,0,28,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Bil-5,CS22578,6900,ZH,2019,20190710,1,12,8,0,22,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Ms-0,CS22655,6938,ZH,2019,20190710,1,12,10,1,34,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Sf-1,CS6855,7327,ZH,2019,20190710,1,13,1,1,48,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Mt-0,CS22642,6939,ZH,2019,20190710,1,13,3,0,25,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,In-0,CS1239,8311,ZH,2019,20190710,1,13,5,0,34,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Can-0,CS1065,8274,ZH,2019,20190710,1,13,7,0,33,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,H55,CS923,7461,ZH,2019,20190710,1,13,9,0,28,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Ang-0,CS949,6992,ZH,2019,20190710,1,14,2,0,30,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Nok-3,CS22643,6945,ZH,2019,20190710,1,14,4,0,34,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Fei-0,CS22645,8215,ZH,2019,20190710,1,14,6,0,23,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Kin-0,CS22654,6926,ZH,2019,20190710,1,14,8,0,30,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Pu2-8,CS22449,6953,ZH,2019,20190710,1,14,10,1,19,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,San-2,CS77233,8247,ZH,2019,20190710,1,15,1,1,28,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Co,CS3180,7081,ZH,2019,20190710,1,15,3,0,30,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Wu-0,CS6897,7415,ZH,2019,20190710,1,15,5,0,25,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Kno-18,CS22567,6928,ZH,2019,20190710,1,15,7,0,30,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Rmx-A02,CS22568,7524,ZH,2019,20190710,1,15,9,0,30,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Bu-0,CS1007,8271,ZH,2019,20190710,1,16,2,0,25,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Gu-0,CS22617,6922,ZH,2019,20190710,1,16,4,0,26,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Pla-0,CS1459,7300,ZH,2019,20190710,1,16,6,0,29,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Sap-0,CS1507,8378,ZH,2019,20190710,1,16,8,0,40,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Ren-11,CS22611,6960,ZH,2019,20190710,1,16,10,1,30,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Vastervik,CS78834,9058,ZH,2019,20190710,1,17,1,1,30,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Kondara,CS22651,6929,ZH,2019,20190710,1,17,3,0,34,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Lu-1,CS1353,8334,ZH,2019,20190710,1,17,5,0,29,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Pu2-7,CS22592,6956,ZH,2019,20190710,1,17,7,0,28,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Ba4-1,CS76677,8258,ZH,2019,20190710,1,17,9,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Sav-0,CS1515,8412,ZH,2019,20190710,1,18,2,0,33,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Rd-0,CS1483,8366,ZH,2019,20190710,1,18,4,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Ull1-1,CS78816,8426,ZH,2019,20190710,1,18,6,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Ts-1,CS22647,6970,ZH,2019,20190710,1,18,8,0,24,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Bg-2,CS22342,6709,ZH,2019,20190710,1,18,10,1,28,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,C24,CS22620,6906,ZH,2019,20190710,1,19,1,1,16,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Ren-1,CS22610,6959,ZH,2019,20190710,1,19,3,0,34,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Gy-0,CS22631,8214,ZH,2019,20190710,1,19,5,0,25,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Bro1-6,CS76726,8231,ZH,2019,20190710,1,19,7,0,24,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Bla-1,CS971,7015,ZH,2019,20190710,1,19,9,0,30,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
