sigma_1,sigma_2,sigma_e,LL
0,0,1,-963.12
0.450188986,0,0.544426255,-805.2762664
0.374752319,0.168134797,0.514736497,-794.3961433
0,0,1,-1091.242
0.167423349,0,0.666041178,-1052.904198
0.144218071,0.037434888,0.659692494,-1052.349631
0,0,1,-1264.44
0.176858863,0,0.750747539,-1238.236276
0.172552831,0.007907228,0.749313823,-1238.207473
0,0,1,-1423.62
0.141599803,0,0.841744423,-1404.424836
0.080419047,0.097470286,0.825207043,-1401.433221
0,0,1,-1286.61
0.122347802,0,0.774894036,-1271.987033
0.074065399,0.087432539,0.759324069,-1269.585115
