name_i,name_j,geno_i,geno_j,relativeDam_i
Ag-0,Ag-0,6897,6897,0
Ag-0,Ak-1,6897,6987,-21.1334378658749
Ag-0,Alc-0,6897,6988,-4.1591769944168
Ag-0,Algutsrum,6897,8230,-9.03097486561702
Ag-0,An-1,6897,6898,1.75358610262024
Ag-0,Ang-0,6897,6992,-15.2355390200195
Ag-0,Ba1-2,6897,8256,-8.91235402933024
Ag-0,Ba4-1,6897,8258,-13.4929864287309
Ag-0,Ba5-1,6897,8259,-12.9700441824055
Ag-0,Bay-0,6897,6899,-7.87188842087378
Ag-0,Bg-2,6897,6709,-3.74106352841887
Ag-0,Bil-5,6897,6900,8.21555289322727
Ag-0,Bil-7,6897,6901,7.99124189420004
Ag-0,Bla-1,6897,7015,-2.40955127412159
Ag-0,Bor-1,6897,5837,-11.6388704651241
Ag-0,Bor-4,6897,6903,-12.9469768077571
Ag-0,Br-0,6897,6904,-7.97191290424712
Ag-0,Bro1-6,6897,8231,7.32487519432059
Ag-0,Bs-1,6897,8270,-13.7704363615371
Ag-0,Bu-0,6897,8271,-10.4724249932259
Ag-0,Buckhorn_Pass,6897,7033,-13.8302666678123
Ag-0,Bur-0,6897,5719,-9.42563656485735
Ag-0,C24,6897,6906,-17.3539472981268
Ag-0,Can-0,6897,8274,-9.41420717911044
Ag-0,Cen-0,6897,8275,-16.6308205582935
Ag-0,CIBC-17,6897,6907,-6.70575858911237
Ag-0,Co,6897,7081,-7.08210730746735
Ag-0,Col-0,6897,6909,-22.4578140297877
Ag-0,Ct-1,6897,6910,-9.25443368292616
Ag-0,Cvi-0,6897,6911,-3.21584568351622
Ag-0,Dem-4,6897,8233,-12.6232837918377
Ag-0,Dra3-1,6897,8283,-11.5437799230685
Ag-0,DraII-1,6897,8284,-5.56976035104828
Ag-0,DraIII-1,6897,8285,-12.3461659372662
Ag-0,Duk,6897,6008,-13.6065285906649
Ag-0,Eden-1,6897,6009,-14.8358456272779
Ag-0,Eden-2,6897,6913,-7.69932366026594
Ag-0,Edi-0,6897,6914,-10.0858881780586
Ag-0,Eds-1,6897,6016,-2.68346765157503
Ag-0,Ei-2,6897,6915,-11.8463670501397
Ag-0,En-1,6897,8290,-9.69711783736387
Ag-0,Est-1,6897,6916,-14.7552635732302
Ag-0,Fab-2,6897,6917,-9.4606748462901
Ag-0,Fab-4,6897,6918,-13.7427250303126
Ag-0,Fei-0,6897,8215,-3.7103016205106
Ag-0,Fr-2,6897,7133,-21.2842927724132
Ag-0,Ga-0,6897,6919,-6.39812075613905
Ag-0,Gd-1,6897,8296,-10.4154983311464
Ag-0,Ge-0,6897,8297,-13.1451354451706
Ag-0,Got-22,6897,6920,-18.0319272276826
Ag-0,Got-7,6897,6921,-19.4804361078247
Ag-0,Gr-1,6897,8300,-8.8626543905104
Ag-0,Gu-0,6897,6922,-18.155008435287
Ag-0,Gul1-2,6897,8234,-13.1716970587534
Ag-0,Gy-0,6897,8214,-9.00297943449952
Ag-0,H55,6897,7461,-15.4945827551947
Ag-0,Hi-0,6897,8304,-0.300604841906416
Ag-0,Hod,6897,8235,-12.4425880781283
Ag-0,Hov4-1,6897,8306,-6.80090985436122
Ag-0,Hovdala-2,6897,6039,-19.8771222826237
Ag-0,HR-10,6897,6923,-6.26296786202173
Ag-0,HR-5,6897,6924,-15.4603215894758
Ag-0,Hs-0,6897,8310,-6.28507762326093
Ag-0,HSm,6897,8236,-11.002103292049
Ag-0,In-0,6897,8311,-2.81974008241002
Ag-0,Is-0,6897,8312,-9.78317043757301
Ag-0,Jm-0,6897,8313,3.44959461520804
Ag-0,Ka-0,6897,8314,-19.0674655412918
Ag-0,Kas-2,6897,8424,-9.84352532168763
Ag-0,Kavlinge-1,6897,8237,-20.4829352119392
Ag-0,Kelsterbach-4,6897,8420,-10.9676025509528
Ag-0,Kent,6897,8238,-10.0237789542793
Ag-0,Kin-0,6897,6926,-9.1192788739726
Ag-0,Kn-0,6897,7186,-9.76820620464943
Ag-0,Kni-1,6897,6040,-9.80544154707208
Ag-0,Kno-10,6897,6927,-12.0293438436108
Ag-0,Kno-18,6897,6928,-15.0835935874886
Ag-0,Koln,6897,8239,-15.0076275905481
