sigma_1,sigma_2,sigma_e,LL
0,0,1,-1466.68
0.244299469,0,0.836208108,-1427.834432
0.165638941,0.119570285,0.816627652,-1424.147504
0,0,1,-1406.665
0.187013195,0,0.816932577,-1379.49664
0.15333852,0.050174203,0.808707059,-1378.603558
0,0,1,-1562.8
0.096285538,0,0.927985525,-1553.120945
0.037808167,0.097452878,0.911112396,-1550.306752
0,0,1,-1365.62
0.195795733,0,0.789487253,-1328.964462
0.179137518,0.022293919,0.786039011,-1328.782862
0,0,1,-1367.8
0.176224943,0,0.795016544,-1335.013519
0.103658805,0.098416273,0.77988833,-1331.856253
