"HolesCHZself_df","HolesCHZself_lambda","HolesS1CHZ_df","HolesS1CHZ_lambda","HolesS2CHZ_df","HolesS2CHZ_lambda","chewerCHZself_df","chewerCHZself_lambda","chewerS1CHZ_df","chewerS1CHZ_lambda","chewerS2CHZ_df","chewerS2CHZ_lambda","richnessCHZself_df","richnessCHZself_lambda","richnessS1CHZ_df","richnessS1CHZ_lambda","richnessS2CHZ_df","richnessS2CHZ_lambda","suckerCHZself_df","suckerCHZself_lambda","suckerS1CHZ_df","suckerS1CHZ_lambda","suckerS2CHZ_df","suckerS2CHZ_lambda"
19,0.185831878510758,19,0.185833299773917,19,0.185833299773917,19,0.118053388133088,19,0.118054291018711,19,0.118054291018711,19,0.0949337692317004,19,0.094934495295871,19,0.0974798136799416,19,0.109690413828613,19,0.109691252753266,19,0.109691252753266
20,0.177385532831013,20,0.177386889495568,20,0.177386889495568,20,0.112687679446139,20,0.112688541294217,20,0.112688541294217,22,0.0906188829052103,22,0.0906195759686439,22,0.0930492057038714,20,0.104704815230701,20,0.104705616024933,20,0.104705616024933
20,0.169323086597981,20,0.169324381600038,20,0.169324381600038,20,0.107565850500116,20,0.107566673175868,20,0.107566673175868,26,0.086500114821588,29,0.0865007763842188,24,0.08881997569824,20,0.0999458197835278,20,0.0999465841804261,20,0.0999465841804261
20,0.161627090989321,20,0.161628327131536,20,0.161628327131536,21,0.102676816584403,21,0.102677601868273,21,0.102677601868273,31,0.0825685511040182,34,0.0825691825976065,28,0.0847829707234966,22,0.0954031280241682,22,0.0954038576780478,22,0.0954038576780478
20,0.154280890258598,20,0.154282070216241,20,0.154282070216241,23,0.0980099968055922,23,0.0980107463970982,23,0.0980107463970982,37,0.0788156830251444,43,0.0788162858163745,33,0.0809294538553191,30,0.0910669086161812,30,0.0910676051061658,29,0.0910676051061658
21,0.147268585688758,21,0.147269712015506,21,0.147269712015506,28,0.0935552911882094,28,0.0935560067096245,28,0.0935560067096245,38,0.0752333885923999,48,0.0752339639858382,39,0.07725108527608,34,0.08692777707254,34,0.08692844190598,34,0.08692844190598
21,0.140575001183975,21,0.140576076317434,23,0.140576076317434,30,0.0893030588162537,31,0.0893037418161163,32,0.0893037418161163,45,0.0718139149703153,50,0.0718144642112339,48,0.0737399042257339,43,0.082976775445637,41,0.0829774100613711,42,0.0829774100613711
24,0.134185650425399,24,0.134186676692383,24,0.134186676692383,32,0.085244096968236,37,0.0852447489247007,34,0.0852447489247007,49,0.0685498617017587,66,0.0685503859788298,58,0.0703883117730657,49,0.0792053529404084,50,0.0792059587118779,49,0.0792059587118779
25,0.128086705519729,25,0.128087685141295,26,0.128087685141295,36,0.0813696212005614,45,0.0813702435245986,37,0.0813702435245986,52,0.0654341646917959,67,0.065434665139665,68,0.0671890543700119,55,0.0756053474086227,55,0.075605925646844,55,0.075605925646844
28,0.122264967072756,28,0.12226590216901,27,0.12226590216901,42,0.077671246336154,55,0.0776718403746032,43,0.0776718403746032,58,0.0624600809195101,77,0.0624605586212512,79,0.0641352081534629,59,0.0721689676842826,59,0.0721695196406843,61,0.0721695196406843
29,0.11670783562311,29,0.116708728217795,29,0.116708728217795,45,0.0741409683171769,61,0.0741415353556618,50,0.0741415353556618,59,0.0596211738446916,97,0.0596216298341513,86,0.0612201639605735,59,0.0688887767219097,67,0.0688893035910411,62,0.0688893035910411
29,0.111403284374382,29,0.111404136399262,29,0.111404136399262,52,0.0707711468825751,68,0.0707716881482858,56,0.0707716881482858,68,0.0569112994778173,118,0.0569117347418523,97,0.0584376130251499,62,0.0657576755012206,78,0.0657581784233369,67,0.0657581784233369
32,0.106339833166626,32,0.10634064646566,31,0.10634064646566,58,0.0675544890329501,77,0.0675550056972988,63,0.0675550056972988,70,0.0543245930831699,134,0.0543250085637828,115,0.0557815333241583,66,0.0627688876633598,84,0.0627693677268897,71,0.0627693677268897
33,0.10150652363088,33,0.101507299964217,35,0.101507299964217,63,0.0644840332469813,93,0.064484526428138,79,0.064484526428138,80,0.051855456486322,159,0.0518558530826998,130,0.053246176544806,78,0.0599159448454402,94,0.0599164030893417,84,0.0599164030893417
35,0.0968928954729642,35,0.0968936365207533,37,0.0968936365207533,64,0.0615531344152364,106,0.0615536051805484,92,0.0615536051805484,83,0.0494985459585136,189,0.0494989245289739,150,0.0508260556439881,83,0.0571926726816505,110,0.0571931100976595,92,0.0571931100976595
39,0.0924889638352144,41,0.0924896712012378,45,0.0924896712012378,70,0.0587554494587623,122,0.0587558988270643,96,0.0587558988270643,93,0.047248760651704,219,0.0472491220155526,165,0.0485159329731773,83,0.0545931774406349,121,0.0545935949754112,114,0.0545935949754112
41,0.0882851976871561,46,0.088285872902302,51,0.088285872902302,77,0.0560849236013339,137,0.0560853525451531,108,0.0560853525451531,96,0.0451012315592684,238,0.0451015764985725,197,0.0463108089430554,94,0.0521118332702237,132,0.0521122318274,119,0.0521122318274
46,0.0842724991983598,50,0.0842731437239352,56,0.0842731437239352,79,0.0535357772656502,168,0.0535361867133108,123,0.0535361867133108,100,0.0430513109784477,269,0.043051640239728,219,0.0442059112033546,105,0.0497432700219109,157,0.0497436504640484,141,0.0497436504640484
