"","CHR","POSITION","IHS","LOGPVALUE"
"166","4",1504,NA,NA
"186","4",1575,NA,NA
"307","4",1923,NA,NA
"315","4",1981,NA,NA
"319","4",1999,NA,NA
"410","4",2243,NA,NA
"423","4",2325,NA,NA
"604","4",2832,NA,NA
"605","4",2833,NA,NA
"622","4",2876,NA,NA
"653","4",3003,NA,NA
"701","4",3207,NA,NA
"723","4",3267,NA,NA
"786","4",3566,NA,NA
"811","4",3645,NA,NA
"904","4",3947,NA,NA
"986","4",4180,NA,NA
"1050","4",4371,NA,NA
"1221","4",4795,NA,NA
"1306","4",5273,NA,NA
"1664","4",6506,NA,NA
"1988","4",8220,NA,NA
"2097","4",8839,NA,NA
"2748","4",11538,NA,NA
"2771","4",11691,NA,NA
"3416","4",15364,NA,NA
"4000","4",17297,NA,NA
"4057","4",17409,NA,NA
"4085","4",17443,NA,NA
"4098","4",17461,NA,NA
"4158","4",17564,NA,NA
"4684","4",21506,NA,NA
"4897","4",22573,NA,NA
"5522","4",27186,NA,NA
"5752","4",30479,NA,NA
"5765","4",30523,NA,NA
"5927","4",31303,NA,NA
"6306","4",33299,NA,NA
"6743","4",36439,NA,NA
"6750","4",36446,NA,NA
"6795","4",36691,NA,NA
"6834","4",36819,NA,NA
"7050","4",38023,NA,NA
"7813","4",41541,NA,NA
"7857","4",41621,NA,NA
"7873","4",41664,NA,NA
"7885","4",41708,NA,NA
"7917","4",41751,NA,NA
"7920","4",41764,NA,NA
"7921","4",41769,NA,NA
"7948","4",41859,NA,NA
"7999","4",42018,NA,NA
"8017","4",42059,NA,NA
"8035","4",42077,NA,NA
"8092","4",42326,NA,NA
"8173","4",42484,-0.356841029367541,0.141937767190848
"8180","4",42491,NA,NA
"8241","4",42579,-0.660612442361041,0.293400928856999
"8276","4",42642,NA,NA
"8316","4",42687,-0.742054154866758,0.339082822314151
"8585","4",43897,NA,NA
"8917","4",46083,NA,NA
"9138","4",47135,NA,NA
"9145","4",47142,NA,NA
"9153","4",47161,NA,NA
"9222","4",47396,NA,NA
"9252","4",47482,NA,NA
"9284","4",47521,NA,NA
"9436","4",48813,NA,NA
"9496","4",48919,NA,NA
"9572","4",48995,NA,NA
"9673","4",49118,NA,NA
"9700","4",49227,NA,NA
"9994","4",50158,-0.83152728012799,0.391820873313912
"10068","4",50336,NA,NA
"10451","4",51946,NA,NA
"10542","4",52289,NA,NA
"10687","4",53303,NA,NA
"10773","4",53714,NA,NA
"11085","4",55489,NA,NA
"11659","4",60085,NA,NA
"11762","4",60746,NA,NA
"11779","4",60796,NA,NA
"11780","4",60797,NA,NA
"11860","4",61103,NA,NA
"12067","4",61584,NA,NA
"12109","4",61679,NA,NA
"12110","4",61680,NA,NA
"12186","4",62033,NA,NA
"12188","4",62035,NA,NA
"12245","4",62333,NA,NA
"12271","4",63218,NA,NA
"12285","4",63300,NA,NA
"12330","4",63480,NA,NA
"12359","4",63656,NA,NA
"12476","4",64046,NA,NA
"12587","4",64735,NA,NA
"12591","4",64753,NA,NA
"12597","4",64761,NA,NA
"12603","4",64768,NA,NA
"12607","4",64774,NA,NA
"12658","4",64991,NA,NA
"12664","4",64997,NA,NA
"12672","4",65005,NA,NA
"12687","4",65020,NA,NA
"12771","4",65647,NA,NA
"13029","4",67215,NA,NA
"13041","4",67276,NA,NA
"13128","4",67848,NA,NA
"13335","4",68540,NA,NA
"13361","4",68671,NA,NA
"13397","4",68779,NA,NA
"13422","4",68887,NA,NA
"13436","4",68972,NA,NA
"13580","4",69315,NA,NA
"13738","4",69812,NA,NA
"13814","4",70094,NA,NA
"14274","4",71767,NA,NA
"14318","4",72008,NA,NA
"14521","4",72684,NA,NA
"14562","4",72771,NA,NA
"14595","4",72887,NA,NA
"14635","4",72970,NA,NA
"14712","4",73187,-1.20763050918525,0.643611900166136
"14731","4",73225,NA,NA
"14734","4",73228,NA,NA
"14744","4",73261,-0.955222388279878,0.469204681252153
"14748","4",73265,-0.955222388279878,0.469204681252153
"14756","4",73307,-0.955222388279878,0.469204681252153
"14763","4",73318,-0.955222388279878,0.469204681252153
"14769","4",73324,-0.955222388279878,0.469204681252153
"14863","4",73616,NA,NA
"14951","4",73796,NA,NA
"15277","4",75171,NA,NA
"15442","4",75566,NA,NA
"15505","4",75812,NA,NA
"15527","4",75854,NA,NA
"15530","4",75857,NA,NA
"15564","4",75898,NA,NA
"15589","4",75994,NA,NA
"15590","4",75995,NA,NA
"15763","4",76944,NA,NA
"15775","4",76964,NA,NA
"15840","4",77080,NA,NA
"15851","4",77101,NA,NA
"15856","4",77110,NA,NA
"15860","4",77121,NA,NA
"15930","4",77263,NA,NA
"16001","4",77383,NA,NA
"16065","4",77494,0.626112706877445,0.274708399589323
"16088","4",77518,NA,NA
"16099","4",77529,1.11462975246373,0.576739187942805
"16126","4",77563,1.51180842010111,0.884114666055141
"16127","4",77565,NA,NA
"16128","4",77566,NA,NA
"16142","4",77589,NA,NA
"16150","4",77606,NA,NA
"16364","4",78157,NA,NA
"16606","4",78683,NA,NA
"16631","4",78747,NA,NA
"16808","4",79925,NA,NA
"16875","4",80419,NA,NA
"16940","4",80682,NA,NA
"17004","4",80841,0.238255698559443,0.0906136678702148
"17169","4",81334,NA,NA
"17234","4",81540,0.250515938401232,0.0957236329444729
"17253","4",81617,0.171854081823279,0.063711381534843
"17378","4",82002,0.171854081823279,0.063711381534843
"17474","4",82408,-0.757628620620039,0.348069733999101
"17510","4",82507,0.708812371757482,0.32017168381511
"17552","4",82605,NA,NA
"17769","4",83973,-0.156538927932859,0.0576901614098101
"17771","4",83984,-0.156538927932859,0.0576901614098101
"17971","4",85362,NA,NA
"18181","4",86163,-0.453067907050915,0.186752803316966
"18372","4",87435,NA,NA
"18682","4",88763,-0.543255010051228,0.231395758811174
"18740","4",89072,NA,NA
"18770","4",89135,-0.423590507898489,0.172718319121616
"18825","4",89366,-0.400944714492782,0.162120765126459
"18827","4",89373,-1.45592840512325,0.837398520613549
"18835","4",89381,NA,NA
"18851","4",89414,NA,NA
"19000","4",90048,-0.430081512263307,0.175785396774237
"19101","4",90380,-0.444452401927545,0.182622710407877
"19191","4",91149,NA,NA
"19201","4",91169,-0.804511149408565,0.375612868281114
"19242","4",91317,0.012439678066874,0.00433198060020203
"19328","4",91701,-0.066593838305958,0.0236935667379586
"19431","4",92684,0.094836409268223,0.0341190317205884
"19479","4",93269,NA,NA
"19502","4",94048,NA,NA
"19512","4",94234,NA,NA
"19559","4",94801,0.0146567473839305,0.00510855649883771
"19586","4",95145,0.0185157571511964,0.00646351533948538
"19589","4",95173,-0.176249756097282,0.0654521971014784
"19607","4",95424,-0.502502768911123,0.210903270402516
"19625","4",95601,NA,NA
"19628","4",95604,-1.37818015761907,0.774309141268576
"19631","4",95613,-1.37818015761907,0.774309141268576
"19638","4",95628,-0.488669524774604,0.204067396113178
"19647","4",95640,0.649882740018827,0.287545633443799
"19675","4",95757,-1.31048659481582,0.72117491508291
"19689","4",95822,-0.146642103231917,0.053835467189981
"19710","4",95906,0.548172754537627,0.233904595313111
"19750","4",96056,NA,NA
"19799","4",96367,-0.843542491479511,0.399108624552211
"19804","4",96372,-0.746513504176628,0.341647718561411
"19868","4",96628,0.462296646060409,0.191202750922569
"19885","4",96700,NA,NA
"19980","4",97458,-0.918729586870003,0.44582952399265
"20002","4",97499,NA,NA
"20074","4",97734,-0.39355910759664,0.158698996180034
"20110","4",97882,-0.393559107596639,0.158698996180033
"20163","4",98073,-0.39355910759664,0.158698996180034
"20175","4",98100,-0.39355910759664,0.158698996180034
"20184","4",98138,-0.39355910759664,0.158698996180034
"20204","4",98272,-0.548134413378513,0.233885005167278
"20217","4",98285,-0.548134413378513,0.233885005167278
"20220","4",98288,-0.548134413378513,0.233885005167278
"20375","4",99369,NA,NA
"20389","4",99447,-0.890343402868973,0.427963507271956
"20489","4",100001,NA,NA
"20635","4",100608,NA,NA
"20801","4",101984,NA,NA
"21341","4",104836,-0.3767960510992,0.150995313886026
"21579","4",106594,NA,NA
"21722","4",107287,NA,NA
"21895","4",107723,NA,NA
"21914","4",107806,NA,NA
"21943","4",108010,-0.183925690240482,0.0685056426284728
"21978","4",108099,0.00382931119649736,0.00132894888763995
"22006","4",108149,NA,NA
"22007","4",108150,NA,NA
"22011","4",108155,NA,NA
"22076","4",108464,NA,NA
"22095","4",108509,-0.800634445362818,0.373307305527629
"22122","4",108569,-0.800634445362817,0.373307305527629
"22123","4",108570,-0.800634445362817,0.373307305527629
"22165","4",108728,-0.800634445362818,0.373307305527629
"22199","4",108822,-0.800634445362817,0.373307305527629
"22208","4",108843,-0.800634445362818,0.373307305527629
"22291","4",109134,-0.800634445362817,0.373307305527628
"22359","4",109403,0.167553126586237,0.0620135387928242
"22550","4",111342,-0.297373840959153,0.115668558086901
"22557","4",111402,0.56461012669991,0.242346677996871
"22561","4",111443,-1.26785333729245,0.688563330869349
"22582","4",111578,0.716048873561605,0.324257235904505
"22681","4",111807,NA,NA
"22682","4",111808,-1.18511485914804,0.627139458818618
"22687","4",111813,0.94715476325527,0.463997503750595
"22737","4",112007,-0.170946288401908,0.0633525719819344
"22774","4",112205,-0.214750976153284,0.0809420654120914
"22805","4",112593,NA,NA
"22816","4",112780,0.315374606237491,0.12350662860169
"22832","4",113074,0.296420842134026,0.115256329553976
"22862","4",113250,0.388591601616958,0.156407049934054
"22892","4",113360,0.388591601616958,0.156407049934054
"22963","4",114159,NA,NA
"22973","4",114178,0.499614377742845,0.209470916798863
"23000","4",114278,1.13768364709085,0.593029818282624
"23478","4",116497,-1.68638958924902,1.0375322354317
"23655","4",117199,NA,NA
"23692","4",117283,-0.154542894886003,0.0569104411211849
"24088","4",120180,-0.779015790571741,0.360542982924616
"24091","4",120203,-1.14813455874543,0.600476803095917
"24096","4",120208,-0.786851182482388,0.36515108078675
"24132","4",120355,-0.786851182482388,0.36515108078675
"24141","4",120388,-0.786851182482388,0.36515108078675
"24164","4",120522,NA,NA
"24211","4",121349,-0.745673915301591,0.341164302857521
"24239","4",121543,-0.798224293997029,0.371876487820652
"24280","4",121817,-0.255058253424529,0.0976282201298046
"24338","4",122236,1.0777912908822,0.551097585512408
"24352","4",122346,NA,NA
"24379","4",122883,1.22670099263082,0.657705663276995
"24413","4",123482,0.348144938336895,0.138028923505272
"24420","4",123663,NA,NA
"24454","4",123960,NA,NA
"24469","4",124174,NA,NA
"24525","4",124890,0.00965449621323199,0.00335834518846195
"24579","4",125890,0.405940389480756,0.164444873134189
"24884","4",129233,-1.16469741083631,0.612358396058509
"25116","4",130215,-1.01713129485055,0.509913676041025
"25188","4",130742,-0.080373544706554,0.028751914013256
"25477","4",131680,NA,NA
"25511","4",131771,-0.59608897905894,0.258757148789878
"25539","4",131861,-0.530998785852146,0.225176858390452
"25636","4",131983,0.18684546167599,0.0696716430736232
"25663","4",132032,0.186845461675989,0.069671643073623
"25723","4",132324,NA,NA
"25724","4",132330,-1.24816484198269,0.673724173534287
"25738","4",132362,0.535002111371196,0.227202885732271
"25753","4",132384,-1.04388283691495,0.527917302872606
"25847","4",132783,NA,NA
"25937","4",133803,0.103524236946919,0.0373717208602521
"25985","4",133911,-0.275561350797848,0.10630202886996
"26180","4",135670,-0.235124700372599,0.0893158715081906
"26279","4",135940,-0.965128697765875,0.475629385008557
"26334","4",136148,-0.857278129484472,0.407499927500297
"26359","4",136272,-0.453597587006918,0.187007481644076
"26445","4",136627,-0.453597587006918,0.187007481644076
"26452","4",136644,-0.453597587006918,0.187007481644076
"26466","4",136658,-0.453597587006918,0.187007481644076
"26499","4",136713,NA,NA
"26501","4",136715,0.516343313736398,0.217803627942455
"26504","4",136718,NA,NA
"26507","4",136721,0.0571099177876845,0.0202433431535308
"26520","4",136806,0.445622322855693,0.183182178694937
"26557","4",137031,0.0593120469499749,0.0210422092330687
"26745","4",138465,0.0770452820935317,0.0275252237442595
"26779","4",138510,-0.295084692471732,0.114678827953153
"26828","4",138567,0.0836815045455387,0.0299742377864165
"26867","4",138623,-0.00396984730236288,0.00137779863919784
"26911","4",138700,1.25933364284906,0.68212494244249
"27187","4",139002,NA,NA
"27356","4",139182,0.911958126681797,0.44154252812962
"27357","4",139183,0.911958126681797,0.44154252812962
"27405","4",139237,NA,NA
"27510","4",139356,0.878980236530567,0.420888946828993
"27515","4",139361,NA,NA
"27602","4",139463,NA,NA
"27637","4",139505,NA,NA
"27674","4",139554,0.387890743085697,0.156084297499237
"27694","4",139653,NA,NA
"27724","4",139942,0.423513003163742,0.172681776702963
"27965","4",141073,0.212231493199457,0.0799150737709182
"28030","4",141179,NA,NA
"28072","4",141340,0.0692149326218221,0.0246515945633666
"28118","4",141508,NA,NA
"28159","4",141645,0.217747774514972,0.0821660643279318
"28424","4",142301,0.609458183218733,0.265823840819302
"28542","4",142470,-0.0633858419874442,0.0225236650358732
"28906","4",143220,-0.293434007122189,0.113966124957447
"29081","4",143708,0.0282828779905715,0.00991143110156352
"29137","4",143880,1.07374541497124,0.548310561698728
"29164","4",143929,0.205043132420621,0.0769952585002517
"29165","4",143930,0.557577017328949,0.238723901308093
"29193","4",143996,0.678542086352949,0.303269729739172
"29205","4",144020,1.71247219846369,1.06143182568072
"29262","4",144155,NA,NA
"29343","4",144332,0.0132653840967309,0.00462104223195617
"29439","4",144521,-0.337815539003895,0.133416024386247
"29487","4",144648,-0.141031722685389,0.0516629046036014
