Chr,Pos,MAF,self_beta,nei_beta,Locus
1,382112,0.472361809,0,0.012011139,AT1G02080
1,382112,0.472361809,0,0.012011139,AT1G02090
1,421914,0.457286432,0,0.001910581,AT1G02180
1,421914,0.457286432,0,0.001910581,AT1G02190
1,421914,0.457286432,0,0.001910581,AT1G02205
1,421914,0.457286432,0,0.001910581,AT1G02210
1,421914,0.457286432,0,0.001910581,AT1G02220
1,530821,0.472361809,0,0.000207996,AT1G02520
1,530821,0.472361809,0,0.000207996,AT1G02530
1,530821,0.472361809,0,0.000207996,AT1G02540
1,530821,0.472361809,0,0.000207996,AT1G02550
1,530821,0.472361809,0,0.000207996,AT1G02560
1,576109,0.477386935,0,-0.000350306,AT1G02650
1,576109,0.477386935,0,-0.000350306,AT1G02660
1,576109,0.477386935,0,-0.000350306,AT1G02670
1,576109,0.477386935,0,-0.000350306,AT1G02680
1,576109,0.477386935,0,-0.000350306,AT1G02681
1,580944,0.40201005,0,-0.004994482,AT1G02660
1,580944,0.40201005,0,-0.004994482,AT1G02670
1,580944,0.40201005,0,-0.004994482,AT1G02680
1,580944,0.40201005,0,-0.004994482,AT1G02681
1,580944,0.40201005,0,-0.004994482,AT1G02690
1,580944,0.40201005,0,-0.004994482,AT1G02700
1,580944,0.40201005,0,-0.004994482,AT1G02710
1,2405570,0.326633166,0,-0.00133396,AT1G07730
1,2405570,0.326633166,0,-0.00133396,AT1G07740
1,2405570,0.326633166,0,-0.00133396,AT1G07745
1,2405570,0.326633166,0,-0.00133396,AT1G07747
1,2405570,0.326633166,0,-0.00133396,AT1G07750
1,2405570,0.326633166,0,-0.00133396,AT1G07760
1,2405570,0.326633166,0,-0.00133396,AT1G07770
1,2405570,0.326633166,0,-0.00133396,AT1G07780
1,2405570,0.326633166,0,-0.00133396,AT1G07790
1,2405570,0.326633166,0,-0.00133396,AT1G07795
1,2405641,0.326633166,0,-1.33E-05,AT1G07730
1,2405641,0.326633166,0,-1.33E-05,AT1G07740
1,2405641,0.326633166,0,-1.33E-05,AT1G07745
1,2405641,0.326633166,0,-1.33E-05,AT1G07747
1,2405641,0.326633166,0,-1.33E-05,AT1G07750
1,2405641,0.326633166,0,-1.33E-05,AT1G07760
1,2405641,0.326633166,0,-1.33E-05,AT1G07770
1,2405641,0.326633166,0,-1.33E-05,AT1G07780
1,2405641,0.326633166,0,-1.33E-05,AT1G07790
1,2405641,0.326633166,0,-1.33E-05,AT1G07795
1,2405665,0.326633166,0,-1.24E-17,AT1G07730
1,2405665,0.326633166,0,-1.24E-17,AT1G07740
1,2405665,0.326633166,0,-1.24E-17,AT1G07745
1,2405665,0.326633166,0,-1.24E-17,AT1G07747
1,2405665,0.326633166,0,-1.24E-17,AT1G07750
1,2405665,0.326633166,0,-1.24E-17,AT1G07760
1,2405665,0.326633166,0,-1.24E-17,AT1G07770
1,2405665,0.326633166,0,-1.24E-17,AT1G07780
1,2405665,0.326633166,0,-1.24E-17,AT1G07790
1,2405665,0.326633166,0,-1.24E-17,AT1G07795
1,2598923,0.195979899,0,0.001137502,AT1G08260
1,2598923,0.195979899,0,0.001137502,AT1G08270
1,2810821,0.201005025,0,0.000133739,AT1G08750
1,2810821,0.201005025,0,0.000133739,AT1G08760
1,2810821,0.201005025,0,0.000133739,AT1G08770
1,2810821,0.201005025,0,0.000133739,AT1G08780
1,2810821,0.201005025,0,0.000133739,AT1G08790
1,2810821,0.201005025,0,0.000133739,AT1G08800
1,2810821,0.201005025,0,0.000133739,AT1G08810
1,3590373,0.326633166,0,-0.001843811,AT1G10760
1,3590373,0.326633166,0,-0.001843811,AT1G10770
1,3590373,0.326633166,0,-0.001843811,AT1G10780
1,3590373,0.326633166,0,-0.001843811,AT1G10790
1,3590373,0.326633166,0,-0.001843811,AT1G10800
1,3766124,0.422110553,0,-0.003500076,AT1G11220
1,3766124,0.422110553,0,-0.003500076,AT1G11230
1,3766124,0.422110553,0,-0.003500076,AT1G11240
1,3766124,0.422110553,0,-0.003500076,AT1G11250
1,3894207,0.412060302,0,-0.000315585,AT1G11572
1,3894207,0.412060302,0,-0.000315585,AT1G11580
1,3894207,0.412060302,0,-0.000315585,AT1G11590
1,3894207,0.412060302,0,-0.000315585,AT1G11592
1,3894207,0.412060302,0,-0.000315585,AT1G11593
1,3894207,0.412060302,0,-0.000315585,AT1G11595
1,3894207,0.412060302,0,-0.000315585,AT1G11600
1,3932470,0.447236181,0,-0.001056684,AT1G11670
1,3932470,0.447236181,0,-0.001056684,AT1G11680
1,3932470,0.447236181,0,-0.001056684,AT1G11684
1,3932470,0.447236181,0,-0.001056684,AT1G11690
1,3932938,0.447236181,0,-4.30E-06,AT1G11670
