Position	Beta1
1504	1.3838
1575	1.738252
1923	2.309814
1981	3.144895
1999	2.321512
2243	1.700755
2325	1.896609
2832	2.052501
2833	1.541244
2876	2.063654
3003	2.027396
3207	1.028736
3267	0.775718
3566	1.246198
3645	-0.084517
3947	-0.219097
4180	0.749786
4371	0.381781
4795	2.005186
5273	1.969933
6506	0.0
8220	0.0
8839	0.0
11538	0.507176
11691	0.562211
15364	0.0
17297	2.03225
17409	1.763533
17443	1.751986
17461	0.493533
17564	2.146046
21506	0.0
22573	0.0
27186	0.0
30479	0.536228
30523	0.159713
31303	0.0
33299	0.0
36439	4.117293
36446	-0.273532
36691	4.089077
36819	4.117293
38023	0.0
41541	6.296687
41621	8.044805
41664	8.103475
41708	8.037622
41751	0.808903
41764	4.880431
41769	3.887064
41859	2.630035
42018	3.115784
42059	6.809675
42077	2.941724
42326	6.969225
42484	6.368567
42491	0.683276
42579	4.574913
42642	2.113184
42687	4.574913
43897	0.0
46083	0.0
47135	4.789567
47142	4.396224
47161	3.850797
47396	4.90902
47482	4.90902
47521	1.960445
48813	0.366398
48919	2.478623
48995	4.059767
49118	2.424453
49227	2.424453
50158	1.219499
50336	1.069636
51946	1.772774
52289	1.771105
53303	1.480367
53714	1.578375
55489	0.0
60085	0.0
60746	5.461575
60796	5.461575
60797	5.461575
61103	6.937889
61584	5.966332
61679	5.093817
61680	5.032713
62033	6.673658
62035	1.467848
62333	1.735149
63218	3.577098
63300	0.593203
63480	3.577098
63656	5.422975
64046	1.845877
64735	14.538848
64753	14.538848
64761	14.538848
64768	14.538848
64774	14.538848
64991	14.50401
64997	14.538848
65005	14.50401
65020	14.50401
65647	0.0
67215	1.452483
67276	1.539315
67848	0.0
68540	3.264921
68671	3.112979
68779	3.331567
68887	3.767149
68972	0.572105
69315	2.12536
69812	3.598717
70094	1.791759
71767	1.265445
72008	1.384336
72684	1.195394
72771	1.295822
72887	7.338276
72970	4.918897
73187	8.178203
73225	7.044584
73228	7.044584
73261	8.178203
73265	8.178203
73307	8.197223
73318	8.197223
73324	8.197223
73616	0.60071
73796	0.990868
75171	0.816413
75566	2.534576
75812	4.232684
75854	4.120551
75857	4.120551
75898	4.232684
75994	4.120551
75995	4.120551
76944	7.430701
76964	7.664521
77080	13.474757
77101	16.419449
77110	17.710989
77121	17.382155
77263	19.642531
77383	19.642531
77494	13.625803
77518	1.401677
77529	10.108293
77563	11.389016
77565	14.140014
77566	14.124828
77589	12.404999
77606	11.507649
78157	0.0
78683	1.36485
78747	1.321603
79925	1.542585
80419	2.458585
80682	2.223004
80841	2.214443
81334	4.879843
81540	5.314718
81617	5.369711
82002	3.461979
82408	0.790911
82507	0.982777
82605	0.812079
83973	1.308438
83984	1.308438
85362	0.0
86163	0.0
87435	0.0
88763	1.939515
89072	3.724885
89135	2.072748
89366	2.229038
89373	2.701127
89381	2.307963
89414	2.956092
90048	0.941156
90380	1.116579
91149	-0.081965
91169	0.956798
91317	2.019406
91701	1.287066
92684	0.0
93269	0.0
94048	0.211549
94234	0.052632
94801	1.160373
95145	3.11296
95173	4.141768
95424	4.827813
95601	6.779335
95604	5.690575
95613	5.690575
95628	4.972034
95640	5.760805
95757	5.177153
95822	3.445908
95906	3.672755
96056	4.061082
96367	1.184893
96372	1.199818
96628	1.364835
96700	1.346451
97458	0.213176
97499	-0.297937
97734	5.208632
97882	8.618809
98073	8.468225
98100	8.468225
98138	8.468225
98272	6.730761
98285	6.730761
98288	6.730761
99369	0.27061
99447	0.113712
100001	0.0
100608	0.0
101984	0.0
104836	0.0
106594	0.0
107287	1.221437
107723	11.490678
107806	10.220601
108010	10.243282
108099	1.226916
108149	11.936738
108150	11.936738
108155	11.936738
108464	7.409515
108509	6.533854
108569	6.555556
108570	6.555556
108728	7.340035
108822	7.340035
108843	7.340035
109134	3.919108
109403	0.357533
111342	4.022005
111402	4.136083
111443	3.959465
111578	1.539589
111807	1.967882
111808	4.151552
111813	3.771226
112007	1.78735
112205	1.085962
112593	-0.396062
112780	1.737909
113074	2.701108
113250	2.849216
113360	1.916104
114159	0.539525
114178	-0.052864
114278	0.196221
116497	0.0
117199	1.347628
117283	1.291835
120180	4.74778
120203	4.23061
120208	4.870061
120355	4.870061
120388	4.870061
120522	0.450131
121349	1.182129
121543	1.198114
121817	-0.318558
122236	-0.145281
122346	-0.131894
122883	0.0
123482	0.132039
123663	0.884675
123960	0.195053
124174	1.328809
124890	0.0
125890	0.0
129233	0.0
130215	0.0
130742	0.0
131680	4.43112
131771	2.258343
131861	2.741376
131983	10.11264
132032	10.11264
132324	11.275844
132330	6.038009
132362	10.806653
132384	6.833118
132783	6.380504
133803	1.400846
133911	1.259149
135670	4.227715
135940	4.281782
136148	4.595651
136272	6.110555
136627	7.198277
136644	7.198277
136658	7.274618
136713	4.574351
136715	4.673655
136718	4.796178
136721	7.251321
136806	2.752798
137031	5.09997
138465	4.809696
138510	4.873494
138567	5.469924
138623	5.2239
138700	2.753558
139002	11.431301
139182	9.985946
139183	9.985946
139237	9.724143
139356	8.14946
139361	9.640193
139463	11.100376
139505	9.681147
139554	-1.04843
139653	9.73441
139942	2.156684
141073	0.631336
141179	3.273095
141340	0.784327
141508	1.439966
141645	1.396043
142301	1.418215
142470	1.299786
143220	0.389955
143708	1.740283
143880	5.770332
143929	6.333378
143930	6.014267
143996	1.896511
144020	6.296087
144155	4.453053
144332	8.505042
144521	1.520121
144648	1.64673
144681	1.884711
144730	3.629452
144793	13.692685
144819	13.692685
144820	13.549143
144924	14.877924
144956	15.776969
144992	9.641316
145041	19.13525
145098	19.358021
145132	13.913554
145151	7.476789
145157	14.144942
145159	13.21734
145365	11.704594
145408	20.466267
145441	18.753122
145519	16.971167
145579	14.585159
145616	12.548413
145676	10.301214
145828	0.641924
145851	16.787571
146070	2.766557
146086	2.787399
146151	6.846567
146293	5.158409
146321	7.472461
146351	3.642639
146556	13.154631
146801	7.97752
146803	4.119693
146832	20.754212
146889	20.241711
146942	17.180883
146943	20.241711
146945	20.241711
146946	20.241711
146949	20.241711
146951	20.241711
146954	20.241711
146983	20.241711
146988	20.241711
147135	19.379394
147152	19.379394
147176	19.379394
148427	0.0
149021	0.0
149783	1.837169
149788	1.837169
150514	6.032752
150721	7.215992
150826	7.715048
150868	7.715048
151079	6.049368
151528	1.505384
152073	-0.537934
152160	3.527481
152229	3.524991
152292	3.524991
152352	3.987924
152355	3.987924
152580	3.96845
152604	3.983283
153788	0.0
154486	4.796067
154495	6.225301
154529	6.225301
154545	5.309572
154586	0.111694
154711	6.167363
156659	0.0
157543	1.819956
157620	3.834683
157624	4.026589
158013	4.026589
158019	-0.154378
158954	0.637882
158958	0.658203
159219	-0.261658
159838	0.0
160505	0.0
161441	0.612599
161698	3.912034
162102	3.090839
162103	1.899756
162876	1.193292
163335	1.274905
166357	0.080368
166823	3.860374
166864	1.011632
167028	6.017113
167336	4.773882
167417	5.453885
167453	5.492876
167471	4.888589
168558	2.099542
168561	2.099542
168927	-0.325219
169016	1.282718
169830	0.0
170508	0.729083
170599	0.816413
171319	0.0
171923	0.39603
172373	3.987015
172412	2.336514
172564	3.229119
172582	3.337907
172605	5.635454
172635	5.275233
172866	3.174713
173084	2.626526
173100	9.688136
173476	11.532946
173539	14.2798
173578	14.2798
173599	13.717106
173886	15.810128
173904	15.82996
173975	15.954457
173984	5.409311
173990	5.167658
174001	16.202808
174228	6.01822
174257	12.224047
174310	5.893556
174339	5.893556
174366	14.780843
174420	11.08624
174522	9.393796
174696	3.091634
174783	6.469586
174979	3.873142
175744	-0.245192
175788	1.807423
175816	1.744888
176359	1.731489
176373	1.819679
176756	1.53546
177277	0.0
178108	1.064692
178538	1.113459
178820	3.465367
178850	3.520747
179189	2.700755
179593	3.78052
179995	13.341372
180056	13.49552
180087	13.028631
180103	12.923424
180110	12.54599
180112	12.54599
180330	12.921939
180362	12.829626
180882	4.096624
180987	4.080062
181303	8.192452
181484	1.314019
181599	4.091741
181769	3.769146
181803	4.569356
182174	13.02052
182175	13.02052
182446	17.69178
182516	17.807411
182524	17.807411
182645	25.401856
182647	25.401856
182656	25.401856
182792	23.070603
182855	23.070603
182869	8.496709
182918	23.503896
182927	8.630568
182941	23.503896
183091	8.581261
183092	17.915188
183096	19.630183
183129	19.630183
183130	19.630183
183142	19.630183
183272	11.98198
183544	10.181216
183714	8.25937
183836	6.630313
183886	6.630313
184086	8.029458
184161	9.778057
184203	9.778057
184210	9.778057
184245	4.851581
184654	8.187404
184737	3.851271
185016	2.458418
